satellite_name,cospar_id,norad_id,object_type,status_code,owner_code,launch_date,launch_site,decay_date,period_min,inclination_deg,apogee_km,perigee_km,radar_cross_section,data_status_code,orbit_center,orbit_type,age_years,avg_altitude_km,orbit_class
METOP-SGA1,2025-172A,65159,PAY,+,EUME,2025-08-13,FRGUI,,101.22,98.67,821.0,812.0,,,EA,ORB,0.6570841889117043,816.5,LEO
NTS-3,2025-173A,65160,PAY,+,US,2025-08-13,AFETR,,1428.91,2.85,35653.0,35638.0,,NEA,EA,ORB,0.6570841889117043,35645.5,GEO
USA 554,2025-173B,65161,PAY,+,US,2025-08-13,AFETR,,1454.91,2.72,36191.0,36117.0,,NEA,EA,ORB,0.6570841889117043,36154.0,GEO
HULIANWANG DIGUI-58,2025-174A,65164,PAY,+,PRC,2025-08-13,WSC,,108.73,86.49,1169.0,1167.0,,,EA,ORB,0.6570841889117043,1168.0,LEO
HULIANWANG DIGUI-59,2025-174B,65165,PAY,+,PRC,2025-08-13,WSC,,108.73,86.49,1169.0,1167.0,,,EA,ORB,0.6570841889117043,1168.0,LEO
HULIANWANG DIGUI-60,2025-174C,65166,PAY,+,PRC,2025-08-13,WSC,,108.73,86.49,1169.0,1167.0,,,EA,ORB,0.6570841889117043,1168.0,LEO
HULIANWANG DIGUI-61,2025-174D,65167,PAY,+,PRC,2025-08-13,WSC,,108.73,86.49,1169.0,1167.0,,,EA,ORB,0.6570841889117043,1168.0,LEO
HULIANWANG DIGUI-62,2025-174E,65168,PAY,+,PRC,2025-08-13,WSC,,108.73,86.48,1169.0,1166.0,,,EA,ORB,0.6570841889117043,1167.5,LEO
HULIANWANG DIGUI-63,2025-174F,65169,PAY,+,PRC,2025-08-13,WSC,,108.73,86.49,1169.0,1166.0,,,EA,ORB,0.6570841889117043,1167.5,LEO
HULIANWANG DIGUI-64,2025-174G,65170,PAY,+,PRC,2025-08-13,WSC,,108.73,86.49,1169.0,1166.0,,,EA,ORB,0.6570841889117043,1167.5,LEO
HULIANWANG DIGUI-65,2025-174H,65171,PAY,+,PRC,2025-08-13,WSC,,108.73,86.48,1169.0,1167.0,,,EA,ORB,0.6570841889117043,1168.0,LEO
HULIANWANG DIGUI-66,2025-174J,65172,PAY,+,PRC,2025-08-13,WSC,,108.73,86.49,1169.0,1167.0,,,EA,ORB,0.6570841889117043,1168.0,LEO
HULIANWANG DIGUI-67,2025-174K,65173,PAY,+,PRC,2025-08-13,WSC,,108.73,86.49,1169.0,1167.0,,,EA,ORB,0.6570841889117043,1168.0,LEO
STARLINK-34956,2025-175A,65174,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,552.0,547.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34949,2025-175B,65175,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34707,2025-175C,65176,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34967,2025-175D,65177,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34929,2025-175E,65178,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34932,2025-175F,65179,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34862,2025-175G,65180,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34942,2025-175H,65181,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34944,2025-175J,65182,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34939,2025-175K,65183,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34947,2025-175L,65184,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34945,2025-175M,65185,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,552.0,547.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34965,2025-175N,65186,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34915,2025-175P,65187,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34972,2025-175Q,65188,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34866,2025-175R,65189,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34917,2025-175S,65190,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34948,2025-175T,65191,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34955,2025-175U,65192,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34950,2025-175V,65193,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34926,2025-175W,65194,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34928,2025-175X,65195,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34927,2025-175Y,65196,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34952,2025-175Z,65197,PAY,+,US,2025-08-14,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6543463381245722,549.5,LEO
STARLINK-34981,2025-176A,65198,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,475.0,,,EA,ORB,0.6543463381245722,475.5,LEO
STARLINK-34821,2025-176B,65199,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34865,2025-176C,65200,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,475.0,,,EA,ORB,0.6543463381245722,475.5,LEO
STARLINK-34843,2025-176D,65201,PAY,+,US,2025-08-14,AFETR,,94.1,53.16,477.0,474.0,,,EA,ORB,0.6543463381245722,475.5,LEO
STARLINK-34905,2025-176E,65202,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34914,2025-176F,65203,PAY,+,US,2025-08-14,AFETR,,94.1,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34787,2025-176G,65204,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,475.0,,,EA,ORB,0.6543463381245722,475.5,LEO
STARLINK-34796,2025-176H,65205,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34763,2025-176J,65206,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34901,2025-176K,65207,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34841,2025-176L,65208,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34976,2025-176M,65209,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34941,2025-176N,65210,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34847,2025-176P,65211,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34897,2025-176Q,65212,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34907,2025-176R,65213,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34511,2025-176S,65214,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,475.0,,,EA,ORB,0.6543463381245722,475.5,LEO
STARLINK-33913,2025-176T,65215,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34302,2025-176U,65216,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34871,2025-176V,65217,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,475.0,,,EA,ORB,0.6543463381245722,475.5,LEO
STARLINK-34833,2025-176W,65218,PAY,+,US,2025-08-14,AFETR,,94.1,53.16,477.0,474.0,,,EA,ORB,0.6543463381245722,475.5,LEO
STARLINK-34960,2025-176X,65219,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34603,2025-176Y,65220,PAY,+,US,2025-08-14,AFETR,,94.1,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34974,2025-176Z,65221,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,475.0,,,EA,ORB,0.6543463381245722,475.5,LEO
STARLINK-34999,2025-176AA,65222,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34996,2025-176AB,65223,PAY,+,US,2025-08-14,AFETR,,94.1,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34975,2025-176AC,65224,PAY,+,US,2025-08-14,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6543463381245722,475.0,LEO
STARLINK-34257,2025-176AD,65225,PAY,+,US,2025-08-14,AFETR,,94.1,53.16,476.0,475.0,,,EA,ORB,0.6543463381245722,475.5,LEO
SHIYAN-28B 02,2025-177A,65226,PAY,+,PRC,2025-08-17,XICLF,,100.74,11.0,796.0,791.0,,,EA,ORB,0.6461327857631759,793.5,LEO
SKYKRAFT-4E,2025-154L,65227,PAY,+,AUS,2025-07-23,AFWTR,,96.19,97.67,580.0,572.0,,,EA,ORB,0.7145790554414785,576.0,LEO
HULIANWANG DIGUI-68,2025-178A,65228,PAY,+,PRC,2025-08-17,TAISC,,108.73,86.5,1169.0,1167.0,,,EA,ORB,0.6461327857631759,1168.0,LEO
HULIANWANG DIGUI-69,2025-178B,65229,PAY,+,PRC,2025-08-17,TAISC,,108.73,86.5,1169.0,1167.0,,,EA,ORB,0.6461327857631759,1168.0,LEO
HULIANWANG DIGUI-70,2025-178C,65230,PAY,+,PRC,2025-08-17,TAISC,,108.73,86.5,1169.0,1167.0,,,EA,ORB,0.6461327857631759,1168.0,LEO
HULIANWANG DIGUI-71,2025-178D,65231,PAY,+,PRC,2025-08-17,TAISC,,108.73,86.5,1169.0,1167.0,,,EA,ORB,0.6461327857631759,1168.0,LEO
HULIANWANG DIGUI-72,2025-178E,65232,PAY,+,PRC,2025-08-17,TAISC,,108.73,86.5,1169.0,1167.0,,,EA,ORB,0.6461327857631759,1168.0,LEO
STARLINK-34842,2025-179A,65235,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34938,2025-179B,65236,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34958,2025-179C,65237,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34818,2025-179D,65238,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34964,2025-179E,65239,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34953,2025-179F,65240,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34969,2025-179G,65241,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34963,2025-179H,65242,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34982,2025-179J,65243,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34990,2025-179K,65244,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34977,2025-179L,65245,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34959,2025-179M,65246,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34923,2025-179N,65247,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34962,2025-179P,65248,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34925,2025-179Q,65249,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34973,2025-179R,65250,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34989,2025-179S,65251,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34961,2025-179T,65252,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34933,2025-179U,65253,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34979,2025-179V,65254,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34987,2025-179W,65255,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34971,2025-179X,65256,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34966,2025-179Y,65257,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6433949349760438,549.5,LEO
STARLINK-34980,2025-179Z,65258,PAY,+,US,2025-08-18,AFWTR,,95.64,97.6,551.0,549.0,,,EA,ORB,0.6433949349760438,550.0,LEO
OBJECT A,2025-180A,65259,PAY,+,TBD,2025-08-19,JSC,,94.67,97.51,511.0,494.0,,,EA,ORB,0.6406570841889117,502.5,LEO
OBJECT B,2025-180B,65260,PAY,+,TBD,2025-08-19,JSC,,95.06,97.52,531.0,512.0,,,EA,ORB,0.6406570841889117,521.5,LEO
OBJECT C,2025-180C,65261,PAY,+,TBD,2025-08-19,JSC,,95.06,97.51,531.0,512.0,,,EA,ORB,0.6406570841889117,521.5,LEO
OBJECT D,2025-180D,65262,PAY,+,TBD,2025-08-19,JSC,,95.06,97.52,531.0,512.0,,,EA,ORB,0.6406570841889117,521.5,LEO
OBJECT E,2025-180E,65263,PAY,+,TBD,2025-08-19,JSC,,94.96,97.48,518.0,516.0,,,EA,ORB,0.6406570841889117,517.0,LEO
COSMOS 2591,2025-182A,65267,PAY,+,CIS,2025-08-21,PLMSC,,90.2,96.59,291.0,278.0,,,EA,ORB,0.6351813826146475,284.5,LEO
COSMOS 2592,2025-182B,65268,PAY,+,CIS,2025-08-21,PLMSC,,90.2,96.59,290.0,278.0,,,EA,ORB,0.6351813826146475,284.0,LEO
COSMOS 2593,2025-182C,65269,PAY,+,CIS,2025-08-21,PLMSC,,90.2,96.59,290.0,279.0,,,EA,ORB,0.6351813826146475,284.5,LEO
COSMOS 2594,2025-182D,65270,PAY,+,CIS,2025-08-21,PLMSC,,90.21,96.59,290.0,279.0,,,EA,ORB,0.6351813826146475,284.5,LEO
USA 555,2025-183A,65271,PAY,+,US,2025-08-22,AFETR,,,,,,,NEA,EA,ORB,0.6324435318275154,,UNKNOWN
LIMASAT,2025-183B,65272,PAY,+,US,2025-08-22,AFETR,,90.9,49.52,319.0,318.0,,NEA,EA,ORB,0.6324435318275154,318.5,LEO
STARLINK-34922,2025-184A,65273,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-34904,2025-184B,65274,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-34954,2025-184C,65275,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-34968,2025-184D,65276,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-34935,2025-184E,65277,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-35000,2025-184F,65278,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-35023,2025-184G,65279,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-35001,2025-184H,65280,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-35010,2025-184J,65281,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-35021,2025-184K,65282,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-35015,2025-184L,65283,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-35006,2025-184M,65284,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-34995,2025-184N,65285,PAY,+,US,2025-08-22,AFWTR,,95.64,97.61,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-35048,2025-184P,65286,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-35007,2025-184Q,65287,PAY,+,US,2025-08-22,AFWTR,,95.64,97.61,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-35018,2025-184R,65288,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-34845,2025-184S,65289,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-34984,2025-184T,65290,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-35002,2025-184U,65291,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,551.0,549.0,,,EA,ORB,0.6324435318275154,550.0,LEO
STARLINK-35017,2025-184V,65292,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-34951,2025-184W,65293,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-34613,2025-184X,65294,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,551.0,548.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-34834,2025-184Y,65295,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
STARLINK-34872,2025-184Z,65296,PAY,+,US,2025-08-22,AFWTR,,95.64,97.6,550.0,549.0,,,EA,ORB,0.6324435318275154,549.5,LEO
DRESDEN,2025-185A,65297,PAY,+,RWA,2025-08-23,RLLB,,97.42,97.96,642.0,629.0,,,EA,ORB,0.6297056810403833,635.5,LEO
FOURIER,2025-185B,65298,PAY,+,RWA,2025-08-23,RLLB,,97.42,97.96,642.0,628.0,,,EA,ORB,0.6297056810403833,635.0,LEO
STARK,2025-185C,65299,PAY,+,RWA,2025-08-23,RLLB,,97.32,97.96,636.0,624.0,,,EA,ORB,0.6297056810403833,630.0,LEO
BASIL,2025-185E,65301,PAY,+,RWA,2025-08-23,RLLB,,97.42,97.96,642.0,628.0,,,EA,ORB,0.6297056810403833,635.0,LEO
DOJO,2025-185F,65302,PAY,+,RWA,2025-08-23,RLLB,,97.42,97.96,642.0,628.0,,,EA,ORB,0.6297056810403833,635.0,LEO
HULIANWANG DIGUI-73,2025-187A,65305,PAY,+,PRC,2025-08-25,WSC,,108.33,50.0,1150.0,1149.0,,,EA,ORB,0.6242299794661191,1149.5,LEO
HULIANWANG DIGUI-74,2025-187B,65306,PAY,+,PRC,2025-08-25,WSC,,108.33,50.01,1150.0,1149.0,,,EA,ORB,0.6242299794661191,1149.5,LEO
HULIANWANG DIGUI-75,2025-187C,65307,PAY,+,PRC,2025-08-25,WSC,,108.33,50.01,1150.0,1149.0,,,EA,ORB,0.6242299794661191,1149.5,LEO
HULIANWANG DIGUI-76,2025-187D,65308,PAY,+,PRC,2025-08-25,WSC,,108.33,50.0,1150.0,1149.0,,,EA,ORB,0.6242299794661191,1149.5,LEO
HULIANWANG DIGUI-77,2025-187E,65309,PAY,+,PRC,2025-08-25,WSC,,108.33,50.0,1150.0,1149.0,,,EA,ORB,0.6242299794661191,1149.5,LEO
HULIANWANG DIGUI-78,2025-187F,65310,PAY,+,PRC,2025-08-25,WSC,,108.33,50.01,1150.0,1149.0,,,EA,ORB,0.6242299794661191,1149.5,LEO
HULIANWANG DIGUI-79,2025-187G,65311,PAY,+,PRC,2025-08-25,WSC,,108.33,50.0,1150.0,1149.0,,,EA,ORB,0.6242299794661191,1149.5,LEO
HULIANWANG DIGUI-80,2025-187H,65312,PAY,+,PRC,2025-08-25,WSC,,108.33,50.0,1150.0,1149.0,,,EA,ORB,0.6242299794661191,1149.5,LEO
HULIANWANG DIGUI-81,2025-187J,65313,PAY,+,PRC,2025-08-25,WSC,,108.33,50.01,1150.0,1149.0,,,EA,ORB,0.6242299794661191,1149.5,LEO
PELICAN-3,2025-188A,65315,PAY,+,US,2025-08-26,AFWTR,,93.47,97.22,448.0,440.0,,,EA,ORB,0.621492128678987,444.0,LEO
PELICAN-4,2025-188B,65316,PAY,+,US,2025-08-26,AFWTR,,93.47,97.22,448.0,441.0,,,EA,ORB,0.621492128678987,444.5,LEO
NAOS,2025-188C,65317,PAY,+,LUXE,2025-08-26,AFWTR,,93.59,97.21,451.0,449.0,,,EA,ORB,0.621492128678987,450.0,LEO
CAPELLA-16 (ACADIA-6),2025-188D,65318,PAY,+,US,2025-08-26,AFWTR,,96.38,97.74,590.0,581.0,,,EA,ORB,0.621492128678987,585.5,LEO
FFLY03,2025-188E,65319,PAY,+,IND,2025-08-26,AFWTR,,96.47,97.73,594.0,584.0,,,EA,ORB,0.621492128678987,589.0,LEO
FFLY01,2025-188F,65320,PAY,+,IND,2025-08-26,AFWTR,,96.46,97.74,597.0,581.0,,,EA,ORB,0.621492128678987,589.0,LEO
LEAP-1,2025-188G,65321,PAY,+,IND,2025-08-26,AFWTR,,96.56,97.74,597.0,591.0,,,EA,ORB,0.621492128678987,594.0,LEO
FFLY02,2025-188H,65322,PAY,+,IND,2025-08-26,AFWTR,,96.46,97.74,598.0,580.0,,,EA,ORB,0.621492128678987,589.0,LEO
STARLINK-34899,2025-189A,65323,PAY,+,US,2025-08-27,AFETR,,94.11,53.16,476.0,475.0,,,EA,ORB,0.6187542778918549,475.5,LEO
STARLINK-34196,2025-189B,65324,PAY,+,US,2025-08-27,AFETR,,94.1,53.16,476.0,475.0,,,EA,ORB,0.6187542778918549,475.5,LEO
STARLINK-34911,2025-189C,65325,PAY,+,US,2025-08-27,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6187542778918549,475.0,LEO
STARLINK-34902,2025-189D,65326,PAY,+,US,2025-08-27,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6187542778918549,475.0,LEO
STARLINK-34880,2025-189E,65327,PAY,+,US,2025-08-27,AFETR,,94.11,53.16,476.0,475.0,,,EA,ORB,0.6187542778918549,475.5,LEO
STARLINK-34885,2025-189F,65328,PAY,+,US,2025-08-27,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6187542778918549,475.0,LEO
STARLINK-34908,2025-189G,65329,PAY,+,US,2025-08-27,AFETR,,94.11,53.16,476.0,475.0,,,EA,ORB,0.6187542778918549,475.5,LEO
STARLINK-34864,2025-189H,65330,PAY,+,US,2025-08-27,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6187542778918549,475.0,LEO
STARLINK-34918,2025-189J,65331,PAY,+,US,2025-08-27,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6187542778918549,475.0,LEO
STARLINK-33890,2025-189K,65332,PAY,+,US,2025-08-27,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6187542778918549,475.0,LEO
STARLINK-34602,2025-189L,65333,PAY,+,US,2025-08-27,AFETR,,94.1,53.16,476.0,474.0,,,EA,ORB,0.6187542778918549,475.0,LEO
STARLINK-34878,2025-189M,65334,PAY,+,US,2025-08-27,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6187542778918549,475.0,LEO
STARLINK-34874,2025-189N,65335,PAY,+,US,2025-08-27,AFETR,,94.11,53.16,476.0,474.0,,,EA,ORB,0.6187542778918549,475.0,LEO
STARLINK-34835,2025-189P,65336,PAY,+,US,2025-08-27,AFETR,,94.1,53.16,476.0,474.0,,,EA,ORB,0.6187542778918549,475.0,LEO
