operator,total_historical,compliant_count,non_compliant_count,raw_compliance_rate,compliance_rate_smoothed,total_objects,inactive_on_orbit,inactive_ratio,operator_source,compliance_component,debris_component,reliability_score,confidence,reliability_tier,operator_display
european space operations centre esoc,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,European Space Operations Centre Esoc
bulsatcom,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Bulsatcom
beijing landview mapping information technology co ltd blmit,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Beijing Landview Mapping Information Technology Co Ltd Blmit
gastianta and gzhhnj bds agr co ltd,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Gastianta And Gzhhnj Bds Agr Co Ltd
atlas 5,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Atlas 5
harbin institutechina amateur satellite  camsat,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Harbin Institutechina Amateur Satellite  Camsat
avanti communications plc,0,0,0,0.0,0.6603402383983336,3,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Avanti Communications Plc
axelspace,0,0,0,0.0,0.6603402383983336,5,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Axelspace
gonets satcom,0,0,0,0.0,0.6603402383983336,18,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Gonets Satcom
azercosmos,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Azercosmos
goddard space flight centerpenn state university,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Goddard Space Flight Centerpenn State University
goddard space flight centereos data and operations system,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Goddard Space Flight Centereos Data And Operations System
global eagle entertainment,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Global Eagle Entertainment
beijing future navigation technology co ltd,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Beijing Future Navigation Technology Co Ltd
ghalam llp,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Ghalam Llp
german aerospace center dlrinfoterra,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,German Aerospace Center Dlrinfoterra
german aerospace center dlrikntesat spacecom,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,German Aerospace Center Dlrikntesat Spacecom
german aerospace center dlrastrium,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,German Aerospace Center Dlrastrium
geoinformatics and space technology development agency gistda,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Geoinformatics And Space Technology Development Agency Gistda
general atomics  electromagnetic systems group,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,General Atomics  Electromagnetic Systems Group
geespace,0,0,0,0.0,0.6603402383983336,9,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Geespace
gazprom space systems,0,0,0,0.0,0.6603402383983336,5,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Gazprom Space Systems
bangladesh telecommunication regulatory commission btrc,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Bangladesh Telecommunication Regulatory Commission Btrc
bank rakyat indonesia bri,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Bank Rakyat Indonesia Bri
china telecom,0,0,0,0.0,0.6603402383983336,3,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,China Telecom
bwa,0,0,0,0.0,0.6603402383983336,1,0,0.0,satcat_owner_code,46.22381668788335,30.0,76.2,low,high,Bwa
eos data analytics,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Eos Data Analytics
endurosat,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Endurosat
department of astronautics university of tokyo,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Department Of Astronautics University Of Tokyo
deimos imagingdmc international imaging dmcii,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Deimos Imagingdmc International Imaging Dmcii
defense innovation unitcesium astro,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Defense Innovation Unitcesium Astro
chiba institute of technology,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Chiba Institute Of Technology
defence research and development organization,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Defence Research And Development Organization
dauria aerospace,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Dauria Aerospace
chilean air force,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Chilean Air Force
china aerospace science and industry corporation casic,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,China Aerospace Science And Industry Corporation Casic
ctrs moroccoinstitut für luftund raumfahrttechnik berlin,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Ctrs Moroccoinstitut Für Luftund Raumfahrttechnik Berlin
department of astrophysical and planetary science uc bouldernational aeronautics and space administration nasa,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Department Of Astrophysical And Planetary Science Uc Bouldernational Aeronautics And Space Administration Nasa
crown prince foundation,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Crown Prince Foundation
china earthquake administrationitalian institute for nuclear physics,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,China Earthquake Administrationitalian Institute For Nuclear Physics
china electronic technology group,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,China Electronic Technology Group
china national academy of sciences cnsas,0,0,0,0.0,0.6603402383983336,19,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,China National Academy Of Sciences Cnsas
chinese university corporation for polar research,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Chinese University Corporation For Polar Research
china national space administration,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,China National Space Administration
