operator,total_historical,compliant_count,non_compliant_count,raw_compliance_rate,compliance_rate_smoothed,total_objects,inactive_on_orbit,inactive_ratio,operator_source,compliance_component,debris_component,reliability_score,confidence,reliability_tier,operator_display
aprize satellite argentina,0,0,0,0.0,0.6603402383983336,11,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Aprize Satellite Argentina
alg,0,0,0,0.0,0.6603402383983336,3,0,0.0,satcat_owner_code,46.22381668788335,30.0,76.2,low,high,Alg
alfarabi kazakh national university,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Alfarabi Kazakh National University
aac clyde space,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Aac Clyde Space
ma,0,0,0,0.0,0.6603402383983336,2,0,0.0,satcat_owner_code,46.22381668788335,30.0,76.2,low,high,Ma
luxgovsat,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Luxgovsat
loft orbital,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Loft Orbital
lightsquared,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Lightsquared
laos national authority for science and technology,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Laos National Authority For Science And Technology
agency for defense development,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Agency For Defense Development
air force research laboratory,0,0,0,0.0,0.6603402383983336,4,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Air Force Research Laboratory
la sapienza university of rome,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,La Sapienza University Of Rome
kwt,0,0,0,0.0,0.6603402383983336,1,0,0.0,satcat_owner_code,46.22381668788335,30.0,76.2,low,high,Kwt
kuwait university,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Kuwait University
kt corporationkorean agency for defense development add,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Kt Corporationkorean Agency For Defense Development Add
kt corporation,0,0,0,0.0,0.6603402383983336,3,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Kt Corporation
korean aerospace research institute kari,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Korean Aerospace Research Institute Kari
korea meteorological administrationnational meteorological satellite center,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Korea Meteorological Administrationnational Meteorological Satellite Center
airbus,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Airbus
korea advanced institute of science and technology kaist,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Korea Advanced Institute Of Science And Technology Kaist
korea advanced institute of science and technology,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Korea Advanced Institute Of Science And Technology
al yah satellite communications co yahsat,0,0,0,0.0,0.6603402383983336,3,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Al Yah Satellite Communications Co Yahsat
kleo connect,0,0,0,0.0,0.6603402383983336,4,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Kleo Connect
apt satellite holdings ltd,0,0,0,0.0,0.6603402383983336,5,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Apt Satellite Holdings Ltd
china siwei surveying and mapping technology co ltd,0,0,0,0.0,0.6603402383983336,3,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,China Siwei Surveying And Mapping Technology Co Ltd
argentinian ministry of science technology and productive innovationradio club bariloche,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Argentinian Ministry Of Science Technology And Productive Innovationradio Club Bariloche
horizons 2 satellite llc intelsat sky perfect jsat corporation,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Horizons 2 Satellite Llc Intelsat Sky Perfect Jsat Corporation
hughesnet leased from echostar technologies llc,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Hughesnet Leased From Echostar Technologies Llc
hispamar subsidiary of hispasat  spain,0,0,0,0.0,0.6603402383983336,5,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Hispamar Subsidiary Of Hispasat  Spain
hisdesat,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Hisdesat
indian air force,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Indian Air Force
indian navy,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Indian Navy
indian space research organization isroexactearth,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Indian Space Research Organization Isroexactearth
indonesian national aeronautics and space agency lembaga penerbangan dan antariksa nasional  lapan,0,0,0,0.0,0.6603402383983336,3,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Indonesian National Aeronautics And Space Agency Lembaga Penerbangan Dan Antariksa Nasional  Lapan
inmarsat ltdeuropean space agency esa,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Inmarsat Ltdeuropean Space Agency Esa
asia satellite telecommunications co ltd,0,0,0,0.0,0.6603402383983336,5,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Asia Satellite Telecommunications Co Ltd
inspace,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Inspace
asia broadcast satellite ltd,0,0,0,0.0,0.6603402383983336,5,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Asia Broadcast Satellite Ltd
institute of space and aeronautical sciencenasa,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Institute Of Space And Aeronautical Sciencenasa
